A!NET_NAME!NET_LOGICAL_PATH!NET_CDS_FSP_UID!NET_SHIELD_NET!NET_RELATIVE_PROPAGATION_DELAY!NET_NO_PIN_ESCAPE!NET_NET_SHORT!NET_VOLTAGE_LAYER!NET_VOLTAGE!NET_RATSNEST_SCHEDULE!NET_CLOCK_NET!NET_NET_PHYSICAL_TYPE!NET_MAX_FINAL_SETTLE!NET_NO_TEST!NET_MAX_EXPOSED_LENGTH!NET_ELECTRICAL_CONSTRAINT_SET!NET_CDS_FSP_BUS_INDEX!NET_STUB_LENGTH!NET_SHIELD_TYPE!NET_NO_RAT!NET_PROPAGATION_DELAY!NET_NO_RIPUP!NET_MIN_HOLD!NET_DIFFERENTIAL_PAIR!NET_MIN_SETUP!NET_MIN_NECK_WIDTH!NET_BUS_NAME!NET_MIN_NOISE_MARGIN!NET_MATCHED_DELAY!NET_ECL!NET_DIFFP_LENGTH_TOL!NET_DIFFP_2ND_LENGTH!NET_NET_GROUP_GRP_NAME!NET_SUBNET_NAME!NET_MIN_BOND_LENGTH!NET_MAX_OVERSHOOT!NET_TS_ALLOWED!NET_MAX_VIA_COUNT!NET_EMC_CRITICAL_NET!NET_CDS_FSP_NET!NET_PROBE_NUMBER!NET_NO_ROUTE!NET_MIN_LINE_WIDTH!NET_ECL_TEMP!NET_NO_GLOSS!NET_ROUTE_PRIORITY!NET_NET_SPACING_TYPE!NET_IMPEDANCE_RULE!
J!C:/USERS/KEVIN/DESKTOP/CARPETAS/ARCHIVOS DE LA U/CLASES/7MO SEMESTRE/ELECTRONICA 2 VICTOR/PCIE11414_KEVINFLORES/PCI11414_KEVIN FLORES/allegro/pci11414_kevin flores.brd!Tue May 12 02:39:03 2026!-100.0000!-100.0000!300.0000!200.0000!0.0001!millimeters!PCI11414_KEVIN FLORES!10.400000 mil!2!OUT OF DATE!
S!5V_BRD!@\pci11414_kevin flores\.\pcie switch\(sch_1):\5v_brd\!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
S!PCIE_RX_L1_P0_N!@\pci11414_kevin flores\.\pcie switch\(sch_1):pcie_rx_l1_p0_n!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
S!PROG23_UART3_RTS_N!@\pci11414_kevin flores\.\pcie switch\(sch_1):prog23_uart3_rts_n!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
S!PCIE_TX_L1_P0_P!@\pci11414_kevin flores\.\pcie switch\(sch_1):pcie_tx_l1_p0_p!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
S!PROG22_UART2_CTS_N!@\pci11414_kevin flores\.\pcie switch\(sch_1):prog22_uart2_cts_n!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
S!PCIE_TX_L1_P0_N!@\pci11414_kevin flores\.\pcie switch\(sch_1):pcie_tx_l1_p0_n!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
S!PROG21_UART2_RTS_N!@\pci11414_kevin flores\.\pcie switch\(sch_1):prog21_uart2_rts_n!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
S!PCIE_RX_L0_P0_P!@\pci11414_kevin flores\.\pcie switch\(sch_1):pcie_rx_l0_p0_p!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
S!PROG20_UART1_CTS_N!@\pci11414_kevin flores\.\pcie switch\(sch_1):prog20_uart1_cts_n!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
S!PCIE_RX_L0_P0_N!@\pci11414_kevin flores\.\pcie switch\(sch_1):pcie_rx_l0_p0_n!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
